type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,GATA3,NM_001002295.1,222.30188679245282,-2.401487680020019,0.2523911513192024,-9.51494403614343,1.818107282705475e-21,1.0254125074458878e-18
Endogenous,ERBB2,NM_004448.2,7340.396226415094,3.043463592007913,0.38374858394650085,7.930879016434907,2.176001274058037e-15,6.136323592843664e-13
Endogenous,BMPR1B,NM_001203.1,1166.1132075471698,-3.8558730696277776,0.49120007939148314,-7.849903188950165,4.1635854338454424e-15,7.827540615629432e-13
Endogenous,BCL2,NM_000657.2,271.77358490566036,-1.651858973036479,0.2143282456728515,-7.707145494756021,1.2866308889250248e-14,1.814149553384285e-12
Endogenous,IGF1R,NM_000875.2,1306.433962264151,-2.1178887378823585,0.27739707130299224,-7.634863367281388,2.2606003809943586e-14,2.5499572297616363e-12
Endogenous,MMP7,NM_002423.3,678.811320754717,3.225880566209321,0.42616629731139155,7.569534678271923,3.7456346649034824e-14,3.5208965850092737e-12
Endogenous,SUV39H2,NM_024670.3,273.64150943396226,1.0930353604187244,0.14723447722904295,7.423773160944916,1.138300473245467e-13,9.171449527292048e-12
Endogenous,PROM1,NM_006017.1,344.3207547169811,2.7903079526869523,0.3939999662578931,7.08200048641769,1.4208815876681418e-12,1.00172151930604e-10
Endogenous,TCF7L1,NM_031283.1,173,1.4434645838421616,0.21274610914009753,6.784916488844511,1.1615368029541962e-11,7.278963965179629e-10
Endogenous,CCNE1,NM_001238.1,98.33962264150944,1.2961650525086628,0.19676071698410513,6.587519462095528,4.472353761277694e-11,2.5224075213606194e-9
Endogenous,EZH2,NM_004456.3,534.1698113207547,0.9900668647091314,0.15514003810407048,6.381762418061148,1.7506141543365627e-10,8.975876209507467e-9
Endogenous,BRCA2,NM_000059.3,115.9622641509434,0.8705262749006142,0.1373532343517201,6.337865132985946,2.3297061472862574e-10,1.094961889224541e-8
Endogenous,ITGB4,NM_001005731.1,387.5660377358491,1.3433722165542152,0.22111334291450838,6.0754914147067955,1.2360859357613906e-9,5.3627112905340337e-8
Endogenous,MYB,NM_005375.2,621.4150943396227,-1.6906315363208408,0.2795574549782185,-6.047527999038928,1.4708511194020278e-9,5.925428795305312e-8
Endogenous,MAML2,NM_032427.1,166.83018867924528,0.8474116613290669,0.14192000111281539,5.971051681823483,2.357290480474917e-9,8.863412206585688e-8
Endogenous,CACNA1D,NM_000720.2,130.83018867924528,-1.6557395207620684,0.28254269375371965,-5.860139219191085,4.624792769026191e-9,1.6302394510817323e-7
Endogenous,THBS4,NM_003248.3,540.88679245283015,-2.3546006849375964,0.40777825386875616,-5.774218371378448,7.73111195460757e-9,2.564910083763923e-7
Endogenous,SKP2,NM_005983.2,319.75471698113205,0.75742819001414,0.13460631702276143,5.626988441308157,1.833830105399513e-8,5.746000996918474e-7
Endogenous,IKBKB,NM_001556.1,346.1698113207547,-0.6911602580656215,0.1263557474543626,-5.469955043519141,4.5014974709534984e-8,1.3362339861146176e-6
Endogenous,PRKX,NM_005044.1,111.86792452830188,0.9881907578139549,0.18126098373088034,5.451756563790528,4.987469985885327e-8,1.4064665360196621e-6
Endogenous,EGFR,NM_201282.1,258.1509433962264,1.5398364373430706,0.2869642256795492,5.365952615510319,8.052308111447697e-8,2.16261989278881e-6
Endogenous,MAP3K12,NM_006301.2,74.28301886792453,-0.8218294853140324,0.156641099590825,-5.246576329333746,1.5495166841780184e-7,3.972397317620011e-6
Endogenous,ID4,NM_001546.2,196.28301886792454,1.347694609983874,0.2600619659871461,5.182205728808824,2.1927715599459278e-7,5.377057216563057e-6
Endogenous,MET,NM_000245.2,152.60377358490567,1.31009053790565,0.2536215391139404,5.165533426232726,2.397541753041446e-7,5.634223119647398e-6
Endogenous,CUL1,NM_003592.2,759.3018867924528,0.41193757318918406,0.07999647815048241,5.149446359554516,2.6125647451499393e-7,5.8939460650582625e-6
Endogenous,LEF1,NM_016269.3,170.9056603773585,-1.1598867962878083,0.2285494949145595,-5.07499172869062,3.875128577864076e-7,8.406048145828226e-6
Endogenous,CDC6,NM_001254.3,285.9433962264151,1.2802857290101213,0.25372864497662245,5.045885651295232,4.5142534584442177e-7,9.429773890972367e-6
Endogenous,DTX3,NM_178502.2,150.18867924528303,-0.8676585500391055,0.17363470667467482,-4.997034099091529,5.821877707875841e-7,1.1484269094549315e-5
Endogenous,CHEK2,NM_007194.3,116.64150943396227,0.6529532840831093,0.13073976610778493,4.994297477515749,5.905031981239897e-7,1.1484269094549315e-5
Endogenous,RFC3,NM_002915.3,316.2641509433962,0.7460299350820936,0.15097132665524818,4.941533942969823,7.751031879285309e-7,1.457193993305638e-5
