ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04110,Cell cycle,30/168,124/7431,2.673488520941715e-23,5.881674746071773e-21,2.054364863460476e-21,30,kg,PCR,898/6502/8454/990/11200/6500/1021/4176/993/4171/10459/4174/4173/3066/1111/7272/595/890/8317/2810/1029/7027/8556/1027/9088/5591/1019/4088/1869/545,CCNE1/SKP2/CUL1/CDC6/CHEK2/SKP1/CDK6/MCM7/CDC25A/MCM2/MAD2L2/MCM5/MCM4/HDAC2/CHEK1/TTK/CCND1/CCNA2/CDC7/SFN/CDKN2A/TFDP1/CDC14A/CDKN1B/PKMYT1/PRKDC/CDK4/SMAD3/E2F1/ATR
hsa04151,PI3K-Akt signaling pathway,39/168,354/7431,3.486859350655976e-17,3.835545285721574e-15,1.3396880663046647e-15,39,kg,PCR,2064/596/3480/898/3691/4602/7060/3551/1956/4233/1021/1946/3667/5595/6654/4254/595/3082/3696/80310/1944/5618/3559/1027/7422/4893/3655/2057/5563/1969/9586/1019/3918/6850/2261/5291/3911/6794/3815,ERBB2/BCL2/IGF1R/CCNE1/ITGB4/MYB/THBS4/IKBKB/EGFR/MET/CDK6/EFNA5/IRS1/MAPK3/SOS1/KITLG/CCND1/HGF/ITGB8/PDGFD/EFNA3/PRLR/IL2RA/CDKN1B/VEGFA/NRAS/ITGA6/EPOR/PRKAA2/EPHA2/CREB5/CDK4/LAMC2/SYK/FGFR3/PIK3CB/LAMA5/STK11/KIT
hsa04010,MAPK signaling pathway,35/168,295/7431,1.8752900452760703e-16,1.3752126998691182e-14,4.803374501935199e-15,35,kg,PCR,2064/3480/776/3551/1956/7786/4233/1946/5534/5595/6654/4254/4214/8912/3082/9175/22800/80310/7124/1944/5881/3556/5567/5532/7422/4893/1969/781/1847/3315/3306/2261/1848/4615/3815,ERBB2/IGF1R/CACNA1D/IKBKB/EGFR/MAP3K12/MET/EFNA5/PPP3R1/MAPK3/SOS1/KITLG/MAP3K1/CACNA1H/HGF/MAP3K13/RRAS2/PDGFD/TNF/EFNA3/RAC3/IL1RAP/PRKACB/PPP3CB/VEGFA/NRAS/EPHA2/CACNA2D1/DUSP5/HSPB1/HSPA2/FGFR3/DUSP6/MYD88/KIT
hsa05165,Human papillomavirus infection,33/168,319/7431,8.793128635829952e-14,4.8362207497064735e-12,1.689206290567333e-12,33,kg,PCR,83439/898/3691/84441/7060/3551/1956/1021/4851/3066/5595/6654/595/890/3696/7124/79885/2778/1027/5567/7473/7422/4893/4853/3655/9586/1019/3918/1869/5291/3911/545/2535,TCF7L1/CCNE1/ITGB4/MAML2/THBS4/IKBKB/EGFR/CDK6/NOTCH1/HDAC2/MAPK3/SOS1/CCND1/CCNA2/ITGB8/TNF/HDAC11/GNAS/CDKN1B/PRKACB/WNT3/VEGFA/NRAS/NOTCH2/ITGA6/CREB5/CDK4/LAMC2/E2F1/PIK3CB/LAMA5/ATR/FZD2
hsa05212,Pancreatic cancer,17/168,75/7431,4.456030801073841e-13,1.9606535524724898e-11,6.848215757439799e-12,17,kg,PCR,2064/675/3551/1956/1021/5595/595/1643/1029/5881/5337/7422/1019/4088/1869/5291/6774,ERBB2/BRCA2/IKBKB/EGFR/CDK6/MAPK3/CCND1/DDB2/CDKN2A/RAC3/PLD1/VEGFA/CDK4/SMAD3/E2F1/PIK3CB/STAT3
hsa05225,Hepatocellular carcinoma,23/168,168/7431,2.2968494920195302e-12,8.421781470738277e-11,2.941579173989925e-11,23,kg,PCR,3480/83439/1956/4233/51176/1021/5595/6654/6598/6597/595/3082/1643/1029/5336/196528/7473/4893/1019/4088/1869/5291/2535,IGF1R/TCF7L1/EGFR/MET/LEF1/CDK6/MAPK3/SOS1/SMARCB1/SMARCA4/CCND1/HGF/DDB2/CDKN2A/PLCG2/ARID2/WNT3/NRAS/CDK4/SMAD3/E2F1/PIK3CB/FZD2
hsa05215,Prostate cancer,18/168,97/7431,3.4266914032982706e-12,1.0769601553223136e-10,3.761631164522914e-11,18,kg,PCR,2064/596/3480/83439/898/3551/1956/51176/5595/6654/595/80310/7113/1027/4893/9586/1869/5291,ERBB2/BCL2/IGF1R/TCF7L1/CCNE1/IKBKB/EGFR/LEF1/MAPK3/SOS1/CCND1/PDGFD/TMPRSS2/CDKN1B/NRAS/CREB5/E2F1/PIK3CB
hsa04934,Cushing's syndrome,21/168,154/7431,2.4208278948455298e-11,6.657276710825207e-10,2.3252688989963644e-10,21,kg,PCR,83439/898/776/1956/51176/1021/5595/5087/595/8912/1029/2778/8085/1027/5567/7473/5332/9586/1019/1869/2535,TCF7L1/CCNE1/CACNA1D/EGFR/LEF1/CDK6/MAPK3/PBX1/CCND1/CACNA1H/CDKN2A/GNAS/KMT2D/CDKN1B/PRKACB/WNT3/PLCB4/CREB5/CDK4/E2F1/FZD2
hsa01522,Endocrine resistance,17/168,98/7431,4.383407040666593e-11,1.0641954693082969e-9,3.7170463760529037e-10,17,kg,PCR,2064/596/3480/1956/4851/5595/6654/595/1029/2778/1027/5567/4893/4853/1019/1869/5291,ERBB2/BCL2/IGF1R/EGFR/NOTCH1/MAPK3/SOS1/CCND1/CDKN2A/GNAS/CDKN1B/PRKACB/NRAS/NOTCH2/CDK4/E2F1/PIK3CB
hsa04218,Cellular senescence,21/168,160/7431,5.087567774658441e-11,1.0641954693082969e-9,3.7170463760529037e-10,21,kg,PCR,898/776/11200/1021/10111/993/5534/5595/1111/595/890/3576/22800/1029/5532/4893/1019/4088/1869/5291/545,CCNE1/CACNA1D/CHEK2/CDK6/RAD50/CDC25A/PPP3R1/MAPK3/CHEK1/CCND1/CCNA2/CXCL8/RRAS2/CDKN2A/PPP3CB/NRAS/CDK4/SMAD3/E2F1/PIK3CB/ATR
