ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04151,PI3K-Akt signaling pathway,6/14,354/7431,2.429990662493225e-5,0.0014947981398000668,9.102728993997798e-4,6,kg,PCR,596/3480/4602/7060/3667/595,BCL2/IGF1R/MYB/THBS4/IRS1/CCND1
hsa05215,Prostate cancer,4/14,97/7431,2.4707407269422592e-5,0.0014947981398000668,9.102728993997798e-4,4,kg,PCR,596/3480/51176/595,BCL2/IGF1R/LEF1/CCND1
hsa05216,Thyroid cancer,3/14,37/7431,3.983722347352183e-5,0.0016067680134320473,9.784581204022905e-4,3,kg,PCR,51176/5979/595,LEF1/RET/CCND1
hsa04934,Cushing's syndrome,4/14,154/7431,1.51032841417372e-4,0.004568743452875503,0.0027821839208463264,4,kg,PCR,776/51176/595/8912,CACNA1D/LEF1/CCND1/CACNA1H
hsa04510,Focal adhesion,4/14,199/7431,4.045541715840734e-4,0.009790210952334576,0.00596185094966003,4,kg,PCR,596/3480/7060/595,BCL2/IGF1R/THBS4/CCND1
hsa05210,Colorectal cancer,3/14,86/7431,4.968443410252854e-4,0.010019694210676588,0.0061015971704859616,3,kg,PCR,596/51176/595,BCL2/LEF1/CCND1
hsa01522,Endocrine resistance,3/14,98/7431,7.285927370783505e-4,0.012594245883782915,0.00766939723240369,3,kg,PCR,596/3480/595,BCL2/IGF1R/CCND1
hsa04152,AMPK signaling pathway,3/14,120/7431,0.0013127220426636958,0.0198549208952884,0.012090860919270884,3,kg,PCR,3480/3667/595,IGF1R/IRS1/CCND1
hsa04068,FoxO signaling pathway,3/14,132/7431,0.0017279747070086022,0.020908493954804087,0.012732445209537068,3,kg,PCR,3480/3667/595,IGF1R/IRS1/CCND1
hsa04140,Autophagy - animal,3/14,128/7431,0.001581507235740589,0.020908493954804087,0.012732445209537068,3,kg,PCR,596/3480/3667,BCL2/IGF1R/IRS1
hsa04340,Hedgehog signaling pathway,2/14,47/7431,0.0033948490721136437,0.024477432718484626,0.014905787649359932,2,kg,PCR,596/595,BCL2/CCND1
hsa04390,Hippo signaling pathway,3/14,154/7431,0.00268621504718871,0.024477432718484626,0.014905787649359932,3,kg,PCR,658/51176/595,BMPR1B/LEF1/CCND1
hsa04630,Jak-STAT signaling pathway,3/14,162/7431,0.0031021767646585794,0.024477432718484626,0.014905787649359932,3,kg,PCR,596/595/53832,BCL2/CCND1/IL20RA
hsa04930,Type II diabetes mellitus,2/14,46/7431,0.003253885932938887,0.024477432718484626,0.014905787649359932,2,kg,PCR,776/3667,CACNA1D/IRS1
hsa05224,Breast cancer,3/14,147/7431,0.0023524314024002476,0.024477432718484626,0.014905787649359932,3,kg,PCR,3480/51176/595,IGF1R/LEF1/CCND1
hsa05225,Hepatocellular carcinoma,3/14,168/7431,0.003438978150530898,0.024477432718484626,0.014905787649359932,3,kg,PCR,3480/51176/595,IGF1R/LEF1/CCND1
hsa05226,Gastric cancer,3/14,149/7431,0.0024449755632330447,0.024477432718484626,0.014905787649359932,3,kg,PCR,596/51176/595,BCL2/LEF1/CCND1
hsa05213,Endometrial cancer,2/14,58/7431,0.005130144678249577,0.03448597255934438,0.021000592250144466,2,kg,PCR,51176/595,LEF1/CCND1
hsa04115,p53 signaling pathway,2/14,72/7431,0.007814144237941679,0.03636582510734397,0.0221453480427497,2,kg,PCR,596/595,BCL2/CCND1
hsa04213,Longevity regulating pathway - multiple species,2/14,62/7431,0.005843599562258358,0.03636582510734397,0.0221453480427497,2,kg,PCR,3480/3667,IGF1R/IRS1
hsa04520,Adherens junction,2/14,72/7431,0.007814144237941679,0.03636582510734397,0.0221453480427497,2,kg,PCR,3480/51176,IGF1R/LEF1
hsa04927,Cortisol synthesis and secretion,2/14,64/7431,0.006216495644037295,0.03636582510734397,0.0221453480427497,2,kg,PCR,776/8912,CACNA1D/CACNA1H
hsa05214,Glioma,2/14,71/7431,0.007605253945676093,0.03636582510734397,0.0221453480427497,2,kg,PCR,3480/595,IGF1R/CCND1
hsa05218,Melanoma,2/14,72/7431,0.007814144237941679,0.03636582510734397,0.0221453480427497,2,kg,PCR,3480/595,IGF1R/CCND1
hsa05221,Acute myeloid leukemia,2/14,66/7431,0.0066000718144171,0.03636582510734397,0.0221453480427497,2,kg,PCR,51176/595,LEF1/CCND1
hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),2/14,72/7431,0.007814144237941679,0.03636582510734397,0.0221453480427497,2,kg,PCR,776/51176,CACNA1D/LEF1
hsa01521,EGFR tyrosine kinase inhibitor resistance,2/14,79/7431,0.009348577074462102,0.041895475037404234,0.02551268597319092,2,kg,PCR,596/3480,BCL2/IGF1R
hsa04211,Longevity regulating pathway,2/14,89/7431,0.011755233810937408,0.05079940325440808,0.03093482581825634,2,kg,PCR,3480/3667,IGF1R/IRS1
hsa04713,Circadian entrainment,2/14,96/7431,0.01358591492464972,0.05302889373814891,0.03229249727420986,2,kg,PCR,776/8912,CACNA1D/CACNA1H
hsa04925,Aldosterone synthesis and secretion,2/14,96/7431,0.01358591492464972,0.05302889373814891,0.03229249727420986,2,kg,PCR,776/8912,CACNA1D/CACNA1H
hsa05222,Small cell lung cancer,2/14,93/7431,0.012786856852911765,0.05302889373814891,0.03229249727420986,2,kg,PCR,596/595,BCL2/CCND1
hsa04066,HIF-1 signaling pathway,2/14,100/7431,0.01468467076724174,0.05384379281321971,0.032788738555244716,2,kg,PCR,596/3480,BCL2/IGF1R
hsa04933,AGE-RAGE signaling pathway in diabetic complications,2/14,99/7431,0.014406434838327863,0.05384379281321971,0.032788738555244716,2,kg,PCR,596/595,BCL2/CCND1
hsa04010,MAPK signaling pathway,3/14,295/7431,0.016279081380786712,0.056708026980609665,0.03453294378984494,3,kg,PCR,3480/776/8912,IGF1R/CACNA1D/CACNA1H
hsa04928,"Parathyroid hormone synthesis, secretion and action",2/14,106/7431,0.01640314830017635,0.056708026980609665,0.03453294378984494,2,kg,PCR,2625/596,GATA3/BCL2
hsa05206,MicroRNAs in cancer,3/14,299/7431,0.016876811435504704,0.05672483843600192,0.034543181300740626,3,kg,PCR,596/3667/595,BCL2/IRS1/CCND1
hsa04725,Cholinergic synapse,2/14,112/7431,0.0182044170084214,0.059533363730242955,0.03625346203668558,2,kg,PCR,596/776,BCL2/CACNA1D
hsa04722,Neurotrophin signaling pathway,2/14,119/7431,0.020408134974647336,0.06498379820874546,0.039572560892667974,2,kg,PCR,596/3667,BCL2/IRS1
hsa04550,Signaling pathways regulating pluripotency of stem cells,2/14,139/7431,0.027286968598429048,0.08254308001024786,0.05026546847079035,2,kg,PCR,658/3480,BMPR1B/IGF1R
hsa05418,Fluid shear stress and atherosclerosis,2/14,139/7431,0.027286968598429048,0.08254308001024786,0.05026546847079035,2,kg,PCR,658/596,BMPR1B/BCL2
hsa04261,Adrenergic signaling in cardiomyocytes,2/14,144/7431,0.02913620434347936,0.08394001727526196,0.05111614797101643,2,kg,PCR,596/776,BCL2/CACNA1D
hsa05161,Hepatitis B,2/14,144/7431,0.02913620434347936,0.08394001727526196,0.05111614797101643,2,kg,PCR,596/595,BCL2/CCND1
hsa04310,Wnt signaling pathway,2/14,146/7431,0.029889913909392187,0.0841088275124757,0.05121894672356067,2,kg,PCR,51176/595,LEF1/CCND1
hsa04150,mTOR signaling pathway,2/14,151/7431,0.0318086898466147,0.08657764805760464,0.052722360713634835,2,kg,PCR,3480/3667,IGF1R/IRS1
hsa04921,Oxytocin signaling pathway,2/14,152/7431,0.032198298864398414,0.08657764805760464,0.052722360713634835,2,kg,PCR,776/595,CACNA1D/CCND1
hsa04218,Cellular senescence,2/14,160/7431,0.03538415222811649,0.0930757047739586,0.056679420045037864,2,kg,PCR,776/595,CACNA1D/CCND1
hsa04022,cGMP-PKG signaling pathway,2/14,163/7431,0.03660997178469617,0.09425120395634544,0.05739525251800071,2,kg,PCR,776/3667,CACNA1D/IRS1
hsa04530,Tight junction,2/14,170/7431,0.03953469188296229,0.09966036912163412,0.06068921999577545,2,kg,PCR,776/595,CACNA1D/CCND1
