type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,MMP7,NM_002423.3,678.811320754717,3.225880566209321,0.42616629731139155,7.569534678271923,3.7456346649034824e-14,3.5208965850092737e-12
Endogenous,ERBB2,NM_004448.2,7340.396226415094,3.043463592007913,0.38374858394650085,7.930879016434907,2.176001274058037e-15,6.136323592843664e-13
Endogenous,PROM1,NM_006017.1,344.3207547169811,2.7903079526869523,0.3939999662578931,7.08200048641769,1.4208815876681418e-12,1.00172151930604e-10
Endogenous,SFRP1,NM_003012.3,590.0943396226415,1.893181954981401,0.49071338981015883,3.858019761217056,1.1430940783061057e-4,8.712230542765455e-4
Endogenous,IL8,NM_000584.2,347.52830188679246,1.6650327376566012,0.44947087154228915,3.7044285694049566,2.118677978929816e-4,0.0014936679751455203
Endogenous,EGFR,NM_201282.1,258.1509433962264,1.5398364373430706,0.2869642256795492,5.365952615510319,8.052308111447697e-8,2.16261989278881e-6
Endogenous,TCF7L1,NM_031283.1,173,1.4434645838421616,0.21274610914009753,6.784916488844511,1.1615368029541962e-11,7.278963965179629e-10
Endogenous,ID4,NM_001546.2,196.28301886792454,1.347694609983874,0.2600619659871461,5.182205728808824,2.1927715599459278e-7,5.377057216563057e-6
Endogenous,ITGB4,NM_001005731.1,387.5660377358491,1.3433722165542152,0.22111334291450838,6.0754914147067955,1.2360859357613906e-9,5.3627112905340337e-8
Endogenous,MET,NM_000245.2,152.60377358490567,1.31009053790565,0.2536215391139404,5.165533426232726,2.397541753041446e-7,5.634223119647398e-6
Endogenous,CCNE1,NM_001238.1,98.33962264150944,1.2961650525086628,0.19676071698410513,6.587519462095528,4.472353761277694e-11,2.5224075213606194e-9
Endogenous,CDC6,NM_001254.3,285.9433962264151,1.2802857290101213,0.25372864497662245,5.045885651295232,4.5142534584442177e-7,9.429773890972367e-6
Endogenous,EFNA5,NM_001962.2,96.49056603773585,1.1926789397904112,0.2684794792645152,4.442346741202305,8.898301128107076e-6,1.1047862573248633e-4
