ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04110,Cell cycle,30/169,124/7431,3.209892339920668e-23,7.061763147825468e-21,2.500337191096099e-21,30,kg,PCR,898/6502/8454/990/11200/6500/1021/4176/993/4171/10459/4174/4173/3066/1111/7272/595/890/8317/2810/1029/7027/8556/1027/9088/5591/1019/4088/1869/545,CCNE1/SKP2/CUL1/CDC6/CHEK2/SKP1/CDK6/MCM7/CDC25A/MCM2/MAD2L2/MCM5/MCM4/HDAC2/CHEK1/TTK/CCND1/CCNA2/CDC7/SFN/CDKN2A/TFDP1/CDC14A/CDKN1B/PKMYT1/PRKDC/CDK4/SMAD3/E2F1/ATR
hsa04010,MAPK signaling pathway,36/169,295/7431,3.1363620024437205e-17,3.184221469379368e-15,1.1274276972922165e-15,36,kg,PCR,2064/3480/4137/776/3551/1956/7786/4233/1946/5534/5595/6654/4254/4214/8912/3082/9175/22800/80310/7124/1944/5881/3556/5567/5532/7422/4893/1969/781/1847/3315/3306/2261/1848/4615/3815,ERBB2/IGF1R/MAPT/CACNA1D/IKBKB/EGFR/MAP3K12/MET/EFNA5/PPP3R1/MAPK3/SOS1/KITLG/MAP3K1/CACNA1H/HGF/MAP3K13/RRAS2/PDGFD/TNF/EFNA3/RAC3/IL1RAP/PRKACB/PPP3CB/VEGFA/NRAS/EPHA2/CACNA2D1/DUSP5/HSPB1/HSPA2/FGFR3/DUSP6/MYD88/KIT
hsa04151,PI3K-Akt signaling pathway,39/169,354/7431,4.3421201855173205e-17,3.184221469379368e-15,1.1274276972922165e-15,39,kg,PCR,2064/596/3480/898/3691/4602/7060/3551/1956/4233/1021/1946/3667/5595/6654/4254/595/3082/3696/80310/1944/5618/3559/1027/7422/4893/3655/2057/5563/1969/9586/1019/3918/6850/2261/5291/3911/6794/3815,ERBB2/BCL2/IGF1R/CCNE1/ITGB4/MYB/THBS4/IKBKB/EGFR/MET/CDK6/EFNA5/IRS1/MAPK3/SOS1/KITLG/CCND1/HGF/ITGB8/PDGFD/EFNA3/PRLR/IL2RA/CDKN1B/VEGFA/NRAS/ITGA6/EPOR/PRKAA2/EPHA2/CREB5/CDK4/LAMC2/SYK/FGFR3/PIK3CB/LAMA5/STK11/KIT
hsa05165,Human papillomavirus infection,33/169,319/7431,1.0511664653226249e-13,5.781415559274437e-12,2.047008379838796e-12,33,kg,PCR,83439/898/3691/84441/7060/3551/1956/1021/4851/3066/5595/6654/595/890/3696/7124/79885/2778/1027/5567/7473/7422/4893/4853/3655/9586/1019/3918/1869/5291/545/3911/2535,TCF7L1/CCNE1/ITGB4/MAML2/THBS4/IKBKB/EGFR/CDK6/NOTCH1/HDAC2/MAPK3/SOS1/CCND1/CCNA2/ITGB8/TNF/HDAC11/GNAS/CDKN1B/PRKACB/WNT3/VEGFA/NRAS/NOTCH2/ITGA6/CREB5/CDK4/LAMC2/E2F1/PIK3CB/ATR/LAMA5/FZD2
hsa05212,Pancreatic cancer,17/169,75/7431,4.917219682601596e-13,2.1635766603447024e-11,7.660510663421434e-12,17,kg,PCR,2064/675/3551/1956/1021/5595/595/1643/1029/5881/5337/7422/1019/4088/1869/5291/6774,ERBB2/BRCA2/IKBKB/EGFR/CDK6/MAPK3/CCND1/DDB2/CDKN2A/RAC3/PLD1/VEGFA/CDK4/SMAD3/E2F1/PIK3CB/STAT3
hsa05225,Hepatocellular carcinoma,23/169,168/7431,2.608139205814211e-12,9.56317708798544e-11,3.386005284741256e-11,23,kg,PCR,3480/83439/1956/4233/51176/1021/5595/6654/6598/6597/595/3082/1643/1029/5336/196528/7473/4893/1019/4088/1869/5291/2535,IGF1R/TCF7L1/EGFR/MET/LEF1/CDK6/MAPK3/SOS1/SMARCB1/SMARCA4/CCND1/HGF/DDB2/CDKN2A/PLCG2/ARID2/WNT3/NRAS/CDK4/SMAD3/E2F1/PIK3CB/FZD2
hsa05215,Prostate cancer,18/169,97/7431,3.795879300858725e-12,1.192990637412742e-10,4.223985988925498e-11,18,kg,PCR,2064/596/3480/83439/898/3551/1956/51176/5595/6654/595/80310/7113/1027/4893/9586/1869/5291,ERBB2/BCL2/IGF1R/TCF7L1/CCNE1/IKBKB/EGFR/LEF1/MAPK3/SOS1/CCND1/PDGFD/TMPRSS2/CDKN1B/NRAS/CREB5/E2F1/PIK3CB
hsa04934,Cushing's syndrome,21/169,154/7431,2.7163430885481012e-11,7.469943493507278e-10,2.644860375691572e-10,21,kg,PCR,83439/898/776/1956/51176/1021/5595/5087/595/8912/1029/8085/2778/1027/5567/7473/5332/9586/1019/1869/2535,TCF7L1/CCNE1/CACNA1D/EGFR/LEF1/CDK6/MAPK3/PBX1/CCND1/CACNA1H/CDKN2A/KMT2D/GNAS/CDKN1B/PRKACB/WNT3/PLCB4/CREB5/CDK4/E2F1/FZD2
hsa01522,Endocrine resistance,17/169,98/7431,4.822659519195241e-11,1.178872326914392e-9,4.173997712519857e-10,17,kg,PCR,2064/596/3480/1956/4851/5595/6654/595/1029/2778/1027/5567/4893/4853/1019/1869/5291,ERBB2/BCL2/IGF1R/EGFR/NOTCH1/MAPK3/SOS1/CCND1/CDKN2A/GNAS/CDKN1B/PRKACB/NRAS/NOTCH2/CDK4/E2F1/PIK3CB
hsa04218,Cellular senescence,21/169,160/7431,5.704101549614144e-11,1.1875555090088803e-9,4.2047419936199584e-10,21,kg,PCR,898/776/11200/1021/10111/993/5534/5595/1111/595/890/3576/22800/1029/5532/4893/1019/4088/1869/5291/545,CCNE1/CACNA1D/CHEK2/CDK6/RAD50/CDC25A/PPP3R1/MAPK3/CHEK1/CCND1/CCNA2/CXCL8/RRAS2/CDKN2A/PPP3CB/NRAS/CDK4/SMAD3/E2F1/PIK3CB/ATR
hsa05161,Hepatitis B,20/169,144/7431,5.937777545044401e-11,1.1875555090088803e-9,4.2047419936199584e-10,20,kg,PCR,596/898/3551/1021/5595/595/890/4214/3576/1643/7124/1027/4893/9586/1019/4088/1869/5291/6774/4615,BCL2/CCNE1/IKBKB/CDK6/MAPK3/CCND1/CCNA2/MAP3K1/CXCL8/DDB2/TNF/CDKN1B/NRAS/CREB5/CDK4/SMAD3/E2F1/PIK3CB/STAT3/MYD88
hsa05224,Breast cancer,20/169,147/7431,8.712381356443838e-11,1.5972699153480368e-9,5.65540544190214e-10,20,kg,PCR,2064/3480/83439/675/1956/51176/1021/4851/5595/6654/595/1643/7473/4893/4853/1019/1869/5291/3815/2535,ERBB2/IGF1R/TCF7L1/BRCA2/EGFR/LEF1/CDK6/NOTCH1/MAPK3/SOS1/CCND1/DDB2/WNT3/NRAS/NOTCH2/CDK4/E2F1/PIK3CB/KIT/FZD2
hsa05223,Non-small cell lung cancer,14/169,66/7431,1.6007913672533837e-10,2.709031544582649e-9,9.591786330101246e-10,14,kg,PCR,2064/1956/1021/5595/6654/595/1643/1029/5336/4893/1019/1869/5291/6774,ERBB2/EGFR/CDK6/MAPK3/SOS1/CCND1/DDB2/CDKN2A/PLCG2/NRAS/CDK4/E2F1/PIK3CB/STAT3
hsa01521,EGFR tyrosine kinase inhibitor resistance,15/169,79/7431,1.8421805206799156e-10,2.8948551039255814e-9,1.0249726205286748e-9,15,kg,PCR,2064/596/3480/1956/4233/5595/6654/3082/80310/5336/7422/4893/2261/5291/6774,ERBB2/BCL2/IGF1R/EGFR/MET/MAPK3/SOS1/HGF/PDGFD/PLCG2/VEGFA/NRAS/FGFR3/PIK3CB/STAT3
hsa04014,Ras signaling pathway,24/169,232/7431,3.536582618014774e-10,5.1869878397550015e-9,1.8365411490041634e-9,24,kg,PCR,3480/3551/1956/4233/1946/5595/6654/4254/3082/22800/80310/5336/1944/5881/5337/5567/7422/4893/10156/1969/9610/2261/5291/3815,IGF1R/IKBKB/EGFR/MET/EFNA5/MAPK3/SOS1/KITLG/HGF/RRAS2/PDGFD/PLCG2/EFNA3/RAC3/PLD1/PRKACB/VEGFA/NRAS/RASA4/EPHA2/RIN1/FGFR3/PIK3CB/KIT
hsa05166,HTLV-I infection,25/169,255/7431,4.6272546345257583e-10,6.3624751224729176e-9,2.2527423878612243e-9,25,kg,PCR,4602/3551/11200/5534/1111/595/5423/4214/22800/1029/7124/3559/5567/5532/7473/4893/6929/1019/4088/1869/57804/5424/5291/545/2535,MYB/IKBKB/CHEK2/PPP3R1/CHEK1/CCND1/POLB/MAP3K1/RRAS2/CDKN2A/TNF/IL2RA/PRKACB/PPP3CB/WNT3/NRAS/TCF3/CDK4/SMAD3/E2F1/POLD4/POLD1/PIK3CB/ATR/FZD2
hsa05206,MicroRNAs in cancer,27/169,299/7431,5.571086071978178e-10,6.809105199084439e-9,2.4108793527858778e-9,27,kg,PCR,2064/596/898/2146/3551/1956/4233/1021/993/3667/4851/6654/595/1788/1029/5336/1944/1027/7473/7422/1786/4893/4853/8651/1869/2261/6774,ERBB2/BCL2/CCNE1/EZH2/IKBKB/EGFR/MET/CDK6/CDC25A/IRS1/NOTCH1/SOS1/CCND1/DNMT3A/CDKN2A/PLCG2/EFNA3/CDKN1B/WNT3/VEGFA/DNMT1/NRAS/NOTCH2/SOCS1/E2F1/FGFR3/STAT3
hsa05218,Melanoma,14/169,72/7431,5.489321329507405e-10,6.809105199084439e-9,2.4108793527858778e-9,14,kg,PCR,3480/1956/4233/1021/5595/595/3082/80310/1643/1029/4893/1019/1869/5291,IGF1R/EGFR/MET/CDK6/MAPK3/CCND1/HGF/PDGFD/DDB2/CDKN2A/NRAS/CDK4/E2F1/PIK3CB
hsa05226,Gastric cancer,19/169,149/7431,8.263899290500917e-10,9.56872549426422e-9,3.3879697922275225e-9,19,kg,PCR,2064/596/83439/898/1956/4233/51176/5595/6654/595/3082/1643/1027/7473/4893/4088/1869/5291/2535,ERBB2/BCL2/TCF7L1/CCNE1/EGFR/MET/LEF1/MAPK3/SOS1/CCND1/HGF/DDB2/CDKN1B/WNT3/NRAS/SMAD3/E2F1/PIK3CB/FZD2
hsa05163,Human cytomegalovirus infection,23/169,225/7431,1.0831889122926305e-9,1.1347693366875177e-8,4.017843584443842e-9,23,kg,PCR,3551/1956/1021/5534/5595/6654/595/3576/637/1029/7124/2778/5881/5567/5532/7422/5332/4893/9586/1019/1869/5291/6774,IKBKB/EGFR/CDK6/PPP3R1/MAPK3/SOS1/CCND1/CXCL8/BID/CDKN2A/TNF/GNAS/RAC3/PRKACB/PPP3CB/VEGFA/PLCB4/NRAS/CREB5/CDK4/E2F1/PIK3CB/STAT3
hsa05219,Bladder cancer,11/169,41/7431,1.0640112187419542e-9,1.1347693366875177e-8,4.017843584443842e-9,11,kg,PCR,2064/1956/5595/595/3576/1029/7422/4893/1019/1869/2261,ERBB2/EGFR/MAPK3/CCND1/CXCL8/CDKN2A/VEGFA/NRAS/CDK4/E2F1/FGFR3
hsa05220,Chronic myeloid leukemia,14/169,76/7431,1.1666561700553918e-9,1.1666561700553919e-8,4.130744334167416e-9,14,kg,PCR,3551/1021/3066/5595/6654/595/1643/1029/1027/4893/1019/4088/1869/5291,IKBKB/CDK6/HDAC2/MAPK3/SOS1/CCND1/DDB2/CDKN2A/CDKN1B/NRAS/CDK4/SMAD3/E2F1/PIK3CB
hsa05214,Glioma,13/169,71/7431,5.071041582086152e-9,4.8505615132997974e-8,1.7174236937042345e-8,13,kg,PCR,3480/1956/1021/5595/6654/595/1643/1029/5336/4893/1019/1869/5291,IGF1R/EGFR/CDK6/MAPK3/SOS1/CCND1/DDB2/CDKN2A/PLCG2/NRAS/CDK4/E2F1/PIK3CB
hsa05210,Colorectal cancer,14/169,86/7431,6.324196541766926e-9,5.797180163286348e-8,2.0525901056611953e-8,14,kg,PCR,596/83439/1956/51176/5595/6654/595/4436/1643/5881/2956/4893/4088/5291,BCL2/TCF7L1/EGFR/LEF1/MAPK3/SOS1/CCND1/MSH2/DDB2/RAC3/MSH6/NRAS/SMAD3/PIK3CB
hsa05222,Small cell lung cancer,14/169,93/7431,1.8001150563418105e-8,1.5841012495807934e-7,5.608779543970273e-8,14,kg,PCR,596/898/6502/3551/1021/595/1643/1027/3655/1019/3918/1869/5291/3911,BCL2/CCNE1/SKP2/IKBKB/CDK6/CCND1/DDB2/CDKN1B/ITGA6/CDK4/LAMC2/E2F1/PIK3CB/LAMA5
hsa05205,Proteoglycans in cancer,20/169,201/7431,2.3030631402790108e-8,1.94874573408224e-7,6.899865278568696e-8,20,kg,PCR,2064/3480/1956/4233/5595/6654/595/6608/3082/22800/5336/7124/5727/5567/7473/7422/4893/5291/6774/2535,ERBB2/IGF1R/EGFR/MET/MAPK3/SOS1/CCND1/SMO/HGF/RRAS2/PLCG2/TNF/PTCH1/PRKACB/WNT3/VEGFA/NRAS/PIK3CB/STAT3/FZD2
hsa04310,Wnt signaling pathway,17/169,146/7431,2.7244854097154454e-8,2.2199510745829558e-7,7.860113852590369e-8,17,kg,PCR,4316/83439/8454/51176/6500/5534/595/6422/5881/5567/5532/7473/5332/4088/6424/6423/2535,MMP7/TCF7L1/CUL1/LEF1/SKP1/PPP3R1/CCND1/SFRP1/RAC3/PRKACB/PPP3CB/WNT3/PLCB4/SMAD3/SFRP4/SFRP2/FZD2
hsa04933,AGE-RAGE signaling pathway in diabetic complications,14/169,99/7431,4.096830384299195e-8,3.218938159092225e-7,1.1397197309704527e-7,14,kg,PCR,596/5595/595/3576/5336/7124/1027/7422/5332/4893/1019/4088/5291/6774,BCL2/MAPK3/CCND1/CXCL8/PLCG2/TNF/CDKN1B/VEGFA/PLCB4/NRAS/CDK4/SMAD3/PIK3CB/STAT3
hsa04115,p53 signaling pathway,12/169,72/7431,6.092385313717562e-8,4.6218095483374606e-7,1.6364301750094358e-7,12,kg,PCR,596/898/11200/1021/1111/595/2810/637/1643/1029/1019/545,BCL2/CCNE1/CHEK2/CDK6/CHEK1/CCND1/SFN/BID/DDB2/CDKN2A/CDK4/ATR
hsa04510,Focal adhesion,19/169,199/7431,1.0321541875620965e-7,7.569130708788708e-7,2.679979294020882e-7,19,kg,PCR,2064/596/3480/3691/7060/1956/4233/5595/6654/595/3082/3696/80310/5881/7422/3655/3918/5291/3911,ERBB2/BCL2/IGF1R/ITGB4/THBS4/EGFR/MET/MAPK3/SOS1/CCND1/HGF/ITGB8/PDGFD/RAC3/VEGFA/ITGA6/LAMC2/PIK3CB/LAMA5
hsa05203,Viral carcinogenesis,19/169,201/7431,1.211003384524923e-7,8.594217567596228e-7,3.0429287081441187e-7,19,kg,PCR,898/6502/1021/3066/5595/1111/595/5423/890/1029/79885/1027/5567/4893/9586/1019/6850/5291/6774,CCNE1/SKP2/CDK6/HDAC2/MAPK3/CHEK1/CCND1/POLB/CCNA2/CDKN2A/HDAC11/CDKN1B/PRKACB/NRAS/CREB5/CDK4/SYK/PIK3CB/STAT3
