ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04151,PI3K-Akt signaling pathway,6/15,354/7431,3.888299840616566e-5,0.002001574423423981,0.0012537047280254602,6,kg,PCR,596/3480/4602/7060/3667/595,BCL2/IGF1R/MYB/THBS4/IRS1/CCND1
hsa05215,Prostate cancer,4/15,97/7431,3.3355472540196644e-5,0.002001574423423981,0.0012537047280254602,4,kg,PCR,596/3480/51176/595,BCL2/IGF1R/LEF1/CCND1
hsa05216,Thyroid cancer,3/15,37/7431,4.9625812151007795e-5,0.002001574423423981,0.0012537047280254602,3,kg,PCR,51176/5979/595,LEF1/RET/CCND1
hsa04934,Cushing's syndrome,4/15,154/7431,2.026456920404643e-4,0.0061300321842240445,0.00383960258602985,4,kg,PCR,776/51176/595/8912,CACNA1D/LEF1/CCND1/CACNA1H
hsa04510,Focal adhesion,4/15,199/7431,5.401704266141296e-4,0.012420190017099717,0.00777950135912292,4,kg,PCR,596/3480/7060/595,BCL2/IGF1R/THBS4/CCND1
hsa05210,Colorectal cancer,3/15,86/7431,6.158771909305645e-4,0.012420190017099717,0.00777950135912292,3,kg,PCR,596/51176/595,BCL2/LEF1/CCND1
hsa01522,Endocrine resistance,3/15,98/7431,9.020575680658644e-4,0.015592709390852798,0.009766638330938684,3,kg,PCR,596/3480/595,BCL2/IGF1R/CCND1
hsa04152,AMPK signaling pathway,3/15,120/7431,0.0016216676476034362,0.024527723170001972,0.01536316718782203,3,kg,PCR,3480/3667/595,IGF1R/IRS1/CCND1
hsa04068,FoxO signaling pathway,3/15,132/7431,0.0021320784659500766,0.025798149437995927,0.016158910478779532,3,kg,PCR,3480/3667/595,IGF1R/IRS1/CCND1
hsa04140,Autophagy - animal,3/15,128/7431,0.0019521418221843353,0.025798149437995927,0.016158910478779532,3,kg,PCR,596/3480/3667,BCL2/IGF1R/IRS1
hsa04010,MAPK signaling pathway,4/15,295/7431,0.0023472180559815877,0.025819398615797465,0.016172220098629123,4,kg,PCR,3480/4137/776/8912,IGF1R/MAPT/CACNA1D/CACNA1H
hsa04340,Hedgehog signaling pathway,2/15,47/7431,0.00390139300252119,0.027768738429709644,0.01739320719390252,2,kg,PCR,596/595,BCL2/CCND1
hsa04390,Hippo signaling pathway,3/15,154/7431,0.0033071073859757757,0.027768738429709644,0.01739320719390252,3,kg,PCR,658/51176/595,BMPR1B/LEF1/CCND1
