GENE	P_VALUE
SFRP2	2.9484018797004e-07
MMP7	9.15290821428268e-07
SFRP4	1.81971173680521e-06
FST	3.35062623717821e-06
ITGA7	1.16318114223237e-05
TSPAN7	2.21931241458808e-05
SUV39H2	4.02395031404128e-05
BRCA2	4.17737568437064e-05
THBS4	4.60719750080928e-05
FGF7	4.94006457565444e-05
COL3A1	0.000100947128219113
SETBP1	0.00013467884854364
COL1A2	0.000151671990777868
PDGFRB	0.000174412869143141
CDC25A	0.00021068192197084
PLA2G2A	0.000256318033215215
PDGFD	0.000268804271131431
IRS1	0.000270138578079482
IL2RA	0.000286376426273221
IGF1	0.00029143312506437
H2AFX	0.000298438360057155
COMP	0.000349121368594705
EZH2	0.000356286046998612
ID1	0.000376542500525344
CCNE1	0.000391510158628186
FANCA	0.000413978510902661
BMP7	0.000572422291152068
MCM2	0.00062441742386496
RUNX1	0.000625057698894318
CACNA2D1	0.000803475426872737
E2F1	0.00085078987694006
MCM5	0.000976146295386178
HOXA9	0.00110820881194903
IGF1R	0.00129485107021729
CACNB2	0.00144995411849981
CHEK2	0.00151126488574953
PPP2CB	0.00156393388968052
MRPS5	0.00158032192419306
FN1	0.00167101330335736
LIFR	0.00168687936917588
HIST1H3H	0.00215021904093456
PRKX	0.00250947790677353
RFC3	0.00261221892198272
BRIP1	0.0028128504984535
TCF7L1	0.00318244463658006
SKP2	0.00364583366798604
FGF1	0.00431140832288697
PRKAR2B	0.00434936878076314
MEN1	0.00503683868580077
FANCG	0.00543918401760701
MAP3K12	0.00549851836117605
PKMYT1	0.00581659033345993
POLD1	0.00587609362040373
PPP3CB	0.00603083662051198
COL5A2	0.00637268164484982
CDC6	0.00668335742960087
HGF	0.00681834516159501
COL5A1	0.00697729543562226
BRAF	0.00707181854293578
CCND1	0.0071963030728371
THBS1	0.00767445075799127
COL1A1	0.00871185943961452
NUMBL	0.00871852418850047
SMAD3	0.00877054020690164
LEF1	0.00916081129965247
AXIN2	0.00954188437413706
VEGFA	0.0100817813525496
MAP3K1	0.0108846629273727
MYD88	0.0115540336388747
CUL1	0.0116822722478344
ERCC6	0.012348055412319
RUNX1T1	0.0124291766452606
SMARCA4	0.0132335742294922
PRKDC	0.013278605295644
TNFAIP3	0.0134511528765076
PPP3CC	0.0141706453847684
TGFB3	0.0141835703533125
MMP3	0.0143123568867974
BAMBI	0.0158443574604184
CACNA1H	0.0158705899132679
RPS27A	0.0160388541329011
TGFBR2	0.0162133761790502
NFE2L2	0.0167342277237142
SF3B1	0.0169815584452568
CDC14A	0.0172749030510273
IL20RA	0.0175274870517832
CTNNB1	0.0182019155347332
JAG1	0.0201612408901842
PRKAA2	0.0203191063573926
E2F5	0.0212120772889127
PIK3CB	0.0213636441350357
LEPR	0.0226379786716421
PPP3R1	0.0237659690480851
CDKN2D	0.0237752058881934
PDGFRA	0.0240007444474254
ETV1	0.0243938642827087
BMP4	0.0244219223787616
SYK	0.024953097002525
MAPK3	0.0255724626840523
HDAC6	0.0258811342553104
SMC1A	0.0266522083681883
PDGFC	0.0267514684622973
GNAS	0.0268288583943813
HOXA10	0.0270626201490654
CCNE2	0.0281231581872453
COG7	0.0281445701111575
TCF3	0.0281913357287022
BMP6	0.028335261593013
BCOR	0.0295606980442465
ITGB8	0.029570442892407
SKP1	0.0297437841998843
MCM4	0.0302771551392345
PLCG2	0.0309757068150443
CDC25B	0.0312634968879922
FGFR1	0.0315620626313989
DNMT3A	0.0319051688093952
HIST1H3B	0.033347800442825
C19orf40	0.0334435874380472
HIST1H3G	0.0354669749342188
PTTG2	0.0375168422768185
BAX	0.0381288790850404
CIC	0.0395961776853365
GSK3B	0.0400231411235665
NUBP1	0.0407431753139026
COL4A5	0.0447091258076797
CDK6	0.0449519986845835
SPRY1	0.0453640639282154
BMP8A	0.0465630955666233
IL11RA	0.0476795746478254
CREB3L1	0.0478523204464223
H3F3A	0.0494791653822225
